destination	declaration	upstream_source
ECDSAAdd/Math/AffineFormula.lean:9	negY_eq_neg	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:13	genericNumerator	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:16	genericDenominator	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:19	genericSlope	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:22	genericX	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:26	genericY	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:31	doubleNumerator	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:34	doubleDenominator	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:37	doubleSlope	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:40	doubleX	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:44	doubleY	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:49	genericDenominator_ne_zero	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:55	doubleDenominator_ne_zero	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:64	genericSlope_eq_mathlib	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:72	genericX_eq_mathlib	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:81	genericY_eq_mathlib	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:93	doubleSlope_eq_mathlib	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:104	doubleX_eq_mathlib	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:114	doubleY_eq_mathlib	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:126	generic_nonsingular	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:138	genericAdd	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:146	genericAdd_correct	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:158	double_nonsingular	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:171	doublePoint	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:178	doublePoint_correct	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:190	inverseAdd_correct	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:200	y_eq_of_x_eq_of_not_inverse	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:210	self_not_inverse_of_x_eq_of_not_inverse	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:222	affineAdd	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:238	affineAdd_zero_left	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:243	affineAdd_zero_right	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:247	affineAdd_inverse	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:257	affineAdd_generic	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:267	affineAdd_doubling	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/AffineFormula.lean:282	affineAdd_correct	ShorECDLP/Math/EllipticCurve/AffineFormula.lean
ECDSAAdd/Math/BitcoinCurve.lean:18	p	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:21	curveA	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:24	curveB	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:27	Fp	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:30	order	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:36	generatorX	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:40	generatorY	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:44	curve	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:52	Point	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:55	generatorX_lt_p	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:59	generatorY_lt_p	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:64	generatorX_val	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:69	generatorY_val	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:73	curve_discriminant_ne_zero	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:90	generator_equation	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:99	generator_nonsingular	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:105	G	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:109	coordinates	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:114	coordinates_zero	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:118	coordinates_some	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:124	coordinates_G	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinCurve.lean:129	G_ne_zero	ShorECDLP/Math/BitcoinCurve.lean
ECDSAAdd/Math/BitcoinPrimes.lean:9	lucasFromFactors	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:24	prime_cert_01	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:42	prime_cert_02	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:59	prime_cert_03	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:77	prime_cert_05	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:95	prime_cert_06	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:114	prime_cert_08	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:132	prime_cert_09	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:150	prime_cert_11	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:169	prime_cert_13	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:187	prime_cert_14	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:205	prime_cert_15	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:223	prime_cert_16	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:242	prime_cert_19	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:261	prime_cert_22	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:280	prime_cert_23	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:299	prime_cert_25	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:318	prime_cert_26	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:337	prime_cert_30	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:355	prime_cert_31	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:374	prime_cert_32	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:392	prime_cert_34	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:411	prime_cert_37	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:430	prime_cert_38	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:448	prime_cert_42	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:468	prime_cert_43	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:487	prime_cert_44	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:507	prime_cert_46	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:527	prime_cert_48	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:546	prime_cert_49	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:565	prime_cert_51	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:584	prime_cert_53	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:603	prime_cert_56	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:623	prime_cert_59	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:642	prime_cert_60	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:662	prime_cert_62	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:683	prime_cert_66	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:704	prime_cert_68	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:724	prime_cert_69	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:743	prime_cert_72	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:769	prime_cert_73	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:793	p_prime	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:818	certifiedFpField	ShorECDLP/Math/BitcoinPrimes.lean
ECDSAAdd/Math/BitcoinPrimes.lean:823	certifiedCurveIsElliptic	ShorECDLP/Math/BitcoinPrimes.lean
